# sim_002_lc_analysis_6, 2, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
365477,365476,365477,383570,401497,401497,401497,401497,401497,401497,401497,420979,439256,441024,441024
789391,789390,791378,809581,829098,829098,829098,829098,829098,829098,829098,847163,865351,865476,865475
